signal_date,signal_time,planned_entry_date,planned_exit_date,rank,ticker,model_score,source_npz
2026-06-01,2026-06-01 15:00:00,2026-06-02,2026-06-03,1,SH603890,1.1846257448196411,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz
2026-06-01,2026-06-01 15:00:00,2026-06-02,2026-06-03,2,SH601918,0.9392104744911194,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz
2026-06-01,2026-06-01 15:00:00,2026-06-02,2026-06-03,3,SZ002428,0.8595916628837585,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz
2026-06-01,2026-06-01 15:00:00,2026-06-02,2026-06-03,4,SH600759,0.8056187629699707,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz
2026-06-01,2026-06-01 15:00:00,2026-06-02,2026-06-03,5,SH603690,0.7771499156951904,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz
2026-06-02,2026-06-02 15:00:00,2026-06-03,,1,SZ002856,1.4728432893753052,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-02_150000.npz
2026-06-02,2026-06-02 15:00:00,2026-06-03,,2,SZ002214,1.1196976900100708,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-02_150000.npz
2026-06-02,2026-06-02 15:00:00,2026-06-03,,3,SH600678,0.8130825161933899,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-02_150000.npz
2026-06-02,2026-06-02 15:00:00,2026-06-03,,4,SZ002995,0.8049405217170715,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-02_150000.npz
2026-06-02,2026-06-02 15:00:00,2026-06-03,,5,SZ002951,0.8045793771743774,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-02_150000.npz
2026-06-03,2026-06-03 15:00:00,,,1,SH600187,1.4211232662200928,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-03_150000.npz
2026-06-03,2026-06-03 15:00:00,,,2,SH603330,1.3620432615280151,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-03_150000.npz
2026-06-03,2026-06-03 15:00:00,,,3,SH600180,1.2645846605300903,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-03_150000.npz
2026-06-03,2026-06-03 15:00:00,,,4,SZ002119,1.2434560060501099,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-03_150000.npz
2026-06-03,2026-06-03 15:00:00,,,5,SZ002856,1.2296403646469116,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-03_150000.npz
