date,cash,market_value,nav,open_positions,holdings
2026-06-01,100000.0,0.0,100000.0,0,
2026-06-02,2632.3407328128815,99303.00207138062,101935.3428041935,3,"SH601918,SZ002428,SH603690"
2026-06-03,104176.5425465107,0.0,104176.5425465107,0,
